From Location,To Location,Distance (miles),Travel Time (minutes)
Kirkwood,Arbor Spring,6.9,0:16:00
Kirkwood,Central West End (laclede),11.9,0:19:00
Kirkwood,Creve Coeur,10,0:15:00
Arbor Spring,Central West End (laclede),20.1,0:29:00
Arbor Spring,Creve Coeur,11.9,0:21:00
Central West End (laclede),Creve Coeur,14.4,0:24:00
