"HGE Cosmic Schools","Kids $250k+",Address,"Metro Area","Prime Locations",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Hollywood Beach",384,"2402 Hollywood Blvd, Hollywood, FL 33020","FL - Fort Lauderdale",,26.010827,-80.154678,1,rooftop,2402,"Hollywood Blvd",,,Hollywood,FL,"Broward County",33020,US," Loveland"
"Hollywood Beach East",361,"2216 Hollywood Blvd, Hollywood, FL 33020","FL - Fort Lauderdale",,26.010904,-80.151862,1,rooftop,2216,"Hollywood Blvd",,,Hollywood,FL,"Broward County",33020,US," Loveland"
Hurst,1714,"110 Grapevine Hwy, Hurst, TX 76054","TX - Fort Worth",,32.871268,-97.168007,1,rooftop,110,"Grapevine Hwy",,,Hurst,TX,"Tarrant County",76054,US,"City of Hurst"
Katy,1167,"21418 Kingsland Blvd, Katy, TX 77450 US","TX - Houston",,29.775791,-95.742039,1,rooftop,21418,"Kingsland Blvd",,,Katy,TX,"Harris County",77450,US,"City of Houston"
"Kendall Park",3662,"10 Gateway Blvd, Kendall Park, NJ 08824 US","NJ - Princeton",,40.416354,-74.583988,1,rooftop,10,"Gateway Blvd",,,"Kendall Park",NJ,"Middlesex County",08824,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Kent,1894,"23921 112th Avenue Southeast, Kent, Washington 98031","WA - Seattle",,47.387451,-122.192314,1,rooftop,23921,"112th Ave SE",,,Kent,WA,"King County",98031,US,King
Kentwood,2637,"2376 E Paris Ave SE, Kentwood, MI 49546","MI - Grand Rapids",,42.92008,-85.568119,1,rooftop,2376,"E Paris Ave SE",,,"Grand Rapids",MI,"Kent County",49546,US,Kent
Kirkwood,2059,"10555 Big Bend Rd, Kirkwood, MO 63122","MO - St. Louis",,38.566822,-90.4047,1,range_interpolation,10555,"Big Bend Rd",,,"Saint Louis",MO,"St. Louis County",63122,US,"TIGER/Line® dataset from the US Census Bureau"
"Lake Norman",1976,"15115 Norman View Ln, Huntersville, NC 28078 US","NC - Charlotte",,35.440455,-80.899615,1,rooftop,15115,"Norman View Ln",,,Huntersville,NC,"Mecklenburg County",28078,US,Charlotte
"Las Colinas",941,"4961 N O'Connor Rd, Irving, TX 75062","TX - Dallas",,32.867622,-96.946611,0.96,rooftop,4961,"N Oconnor Rd",,,Irving,TX,"Dallas County",75038,US,Dallas
"Las Flores",7090,"28672 Deerpath, Rancho Santa Margarita, CA 92688 US","CA - Los Angeles",,33.580648,-117.630904,1,rooftop,28672,Deerpath,,,"Rancho Santa Margarita",CA,"Orange County",92688,US,"Orange (CC0 1.0)"
"Laurel Oak",1205,"1004 Laurel Oak Rd, Voorhees Township, NJ 08043 US","PA - Philadelphia",,39.844392,-74.978154,1,rooftop,1004,"Laurel Oak Rd",,,Voorhees,NJ,"Camden County",08043,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Lawrenceville,1874,"222 Federal City Rd, Lawrence Township, NJ 08648 US","NJ - Trenton",,40.301406,-74.750562,1,rooftop,222,"Federal City Rd",,,"Lawrence Township",NJ,"Mercer County",08648,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Leavenworth,159,"571 Metropolitan Avenue, Leavenworth, KS 66048 US","KS - Kansas City",,39.327721,-94.918786,1,rooftop,571,"Metropolitan Ave",,,Leavenworth,KS,"Leavenworth County",66048,US,"Statewide KS"
Leawood,2662,"4701 W 136th St, Leawood, KS 66224","KS - Kansas City",,38.882083,-94.640578,1,rooftop,4701,"W 136th St",,,"Overland Park",KS,"Johnson County",66224,US,"City of Olathe"
Legacy,4046,"7220 Independence Pkwy, Plano, TX 75025","TX - Dallas",,33.074797,-96.74838,1,rooftop,7220,"Independence Pkwy",,,Plano,TX,"Collin County",75025,US,"City of Plano"
